"Country","State","City","Station name","Timestamp(UTC)","PM2.5","PM10","Ozone","CO","SO2","US AQI","Main pollutant"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-02-06T00:00:00.000Z",10.71,,39.42,,,44,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-02-07T00:00:00.000Z",15.71,,33.81,,,59,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-02-08T00:00:00.000Z",18.15,,27.7,,,64,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-02-09T00:00:00.000Z",10.53,,29.13,,,44,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-02-10T00:00:00.000Z",10.94,,40.33,,,45,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-02-11T00:00:00.000Z",8.4,,60.9,,,35,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-02-12T00:00:00.000Z",10.74,,34.11,,,44,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-02-13T00:00:00.000Z",6.39,,70,,,28,"Ozone"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-02-14T00:00:00.000Z",11.45,,42.3,,,47,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-02-15T00:00:00.000Z",14.79,,38.32,,,57,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-02-16T00:00:00.000Z",11.26,,32.63,,,47,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-02-17T00:00:00.000Z",15.7,,42.2,,,59,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-02-18T00:00:00.000Z",8,,60,,,33,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-02-19T00:00:00.000Z",7.88,,33.75,,,33,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-02-23T00:00:00.000Z",11.61,,29.89,,,48,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-02-24T00:00:00.000Z",2.17,,48.78,,,20,"Ozone"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-02-25T00:00:00.000Z",4.33,,54.3,,,22,"Ozone"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-02-26T00:00:00.000Z",4.5,,78.45,,,31,"Ozone"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-02-27T00:00:00.000Z",6.71,,59.92,,,28,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-02-28T00:00:00.000Z",9.08,,70.33,,,38,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-02-29T00:00:00.000Z",6.23,,80.35,,,32,"Ozone"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-03-01T00:00:00.000Z",7.22,,38.8,,,30,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-03-03T00:00:00.000Z",7.5,,56.09,,,31,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-03-04T00:00:00.000Z",12,,47.04,,,50,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-03-05T00:00:00.000Z",11.46,,59.5,,,47,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-03-06T00:00:00.000Z",16,,44.08,,,59,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-03-07T00:00:00.000Z",14.79,,32.58,,,57,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-03-08T00:00:00.000Z",12.48,,51.48,,,52,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-03-09T00:00:00.000Z",20.57,,38.95,,,69,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-03-10T00:00:00.000Z",15.52,,44.45,,,58,"PM2.5"
"USA","Pennsylvania","Pittsburgh","Lawrenceville","2016-03-11T00:00:00.000Z",4.67,,48.53,,,19,"PM2.5"
